City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
129,tarrafal,CV,69.8,15.2833,-23.7667,clear sky,Hotel Ixola
130,saint-joseph,RE,77.0,-21.3667,55.6167,overcast clouds,"""Plantation Bed and Breakfast"
133,butaritari,KI,82.27,3.0707,172.7902,light rain,Isles Sunset Lodge
136,kaita,JP,66.2,34.3667,132.55,light rain,Hiroshima Hotel / La Michel Funakoshi
139,hasaki,JP,68.0,35.7333,140.8333,broken clouds,Hotel Sunrise Choshi
143,hilo,US,78.8,19.7297,-155.09,moderate rain,Hilo Hawaiian Hotel
144,kavaratti,IN,83.12,10.5669,72.642,broken clouds,Hotels in Lakshadweep Islands
145,green valley,US,75.99,31.8543,-110.9937,scattered clouds,Best Western Green Valley Inn
146,tautira,PF,86.0,-17.7333,-149.15,light rain,Pension Oaoa
147,naze,JP,69.8,28.3667,129.4833,broken clouds,奄美ポートタワーホテル
150,pundaguitan,PH,82.11,6.3711,126.1689,overcast clouds,Leonardo Family Beach House 1
153,harlingen,US,63.0,26.1906,-97.6961,overcast clouds,Courtyard by Marriott Harlingen
159,khorramshahr,IR,68.0,30.4397,48.1664,clear sky,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
162,rio grande,BR,66.31,-32.035,-52.0986,scattered clouds,Hotel Atlântico Rio Grande
164,sweetwater,US,73.4,25.7634,-80.3731,overcast clouds,Li'l Abner Mobile Home Park
165,san patricio,US,60.8,28.017,-97.5169,broken clouds,"Motel 6 Sinton, TX"
168,mackay,AU,80.6,-21.15,149.2,scattered clouds,International Lodge Motel
172,maumere,ID,82.08,-8.6199,122.2111,light rain,Sylvia Hotel
173,el alto,PE,70.34,-4.2714,-81.2147,few clouds,Black Marlin Restaurant & Hospedaje
174,bulolo,PG,80.78,-7.2,146.65,overcast clouds,Pine Lodge Bulolo
176,tubuala,PA,78.8,9.5167,-79.0333,few clouds,Río Nabagana
177,souillac,MU,75.2,-20.5167,57.5167,light rain,Shanti Maurice Resort & Spa
178,kathmandu,NP,60.8,27.7167,85.3167,mist,Hotel Shanker Kathmandu
179,sao jose da coroa grande,BR,78.89,-8.8978,-35.1478,scattered clouds,Crôa Mares Hotel
180,fuerte olimpo,PY,74.53,-21.0415,-57.8738,broken clouds,Hospedaje DAMI
181,ugoofaaru,MV,82.94,5.6667,73.0,overcast clouds,Ungoofaaru Inn
185,aden,YE,79.7,12.7794,45.0367,clear sky,Sama Emirate Hotel
188,santa isabel do rio negro,BR,73.36,-0.4139,-65.0192,scattered clouds,Hotel GSA
190,yaring,TH,87.8,6.8662,101.3689,few clouds,สถานที่จัดงานแต่ง SOFEE & DORN
192,pochutla,MX,82.0,15.7432,-96.4661,few clouds,Hotel Posada San Jose
194,matara,LK,83.93,5.9485,80.5353,broken clouds,Amaloh Boutique Resort
195,praia da vitoria,PT,60.01,38.7333,-27.0667,few clouds,Hotel Branco I
196,pacific grove,US,60.01,36.6177,-121.9166,clear sky,Lovers Point Inn
197,tongliao,CN,63.59,43.6125,122.2653,light rain,Meirujia Hotel
199,adre,TD,72.55,13.4667,22.2,few clouds,
200,sorong,ID,84.4,-0.8833,131.25,broken clouds,The Waigo Hotel
202,east london,ZA,66.79,-33.0153,27.9116,broken clouds,Tu Casa
206,sibolga,ID,84.42,1.7427,98.7792,broken clouds,Hotel Syariah CN Darussalam
210,taltal,CL,64.38,-25.4,-70.4833,clear sky,Residencial Karime
212,paso de patria,AR,66.99,-27.2454,-58.5454,clear sky,"Posada Pasito's III, Paso de Patria Ñeembucú"
213,teknaf,BD,85.1,20.8624,92.3058,overcast clouds,Forestry Guesthouse
216,bosaso,SO,79.16,11.2842,49.1816,few clouds,Red Sea Hotel
219,caravelas,BR,73.08,-17.7125,-39.2481,scattered clouds,Pousada dos Navegantes
220,kahului,US,78.8,20.8947,-156.47,scattered clouds,Maui Seaside Hotel
221,bitkine,TD,73.08,11.9801,18.2138,scattered clouds,
223,acarau,BR,76.57,-2.8856,-40.12,few clouds,castelo pizzaria
226,adrar,MR,77.7,20.5022,-10.0711,broken clouds,
227,boende,CD,69.39,-0.2167,20.8667,overcast clouds,
228,maceio,BR,73.4,-9.6658,-35.7353,clear sky,Poutur Pousada
229,general roca,AR,73.4,-39.0333,-67.5833,clear sky,Hotel y Casino del Río General Roca
232,teguise,ES,60.8,29.0605,-13.564,clear sky,B&B La Casona de Nazaret
233,hsinchu,TW,82.0,24.8036,120.9686,clear sky,迎曦大飯店
235,san cristobal,VE,78.8,7.7669,-72.225,scattered clouds,Posada Villaven C.A.
237,namatanai,PG,86.85,-3.6667,152.4333,scattered clouds,Namatanai Hotel
239,japura,ID,87.15,-0.3167,102.35,overcast clouds,Rumah mbah Jamah
240,lazaro cardenas,MX,76.55,17.9583,-102.2,clear sky,Hotel Quinta Antigua
243,ribeira grande,PT,60.21,38.5167,-28.7,overcast clouds,Quinta da Meia Eira
244,faanui,PF,82.8,-16.4833,-151.75,overcast clouds,Bora-Bora Pearl Beach Resort & Spa
245,la palma,US,77.0,33.8464,-118.0467,scattered clouds,La Quinta Inn & Suites by Wyndham Buena Park
247,chuy,UY,65.16,-33.6971,-53.4616,broken clouds,Nuevo Hotel Plaza
248,sao miguel do araguaia,BR,75.7,-13.275,-50.1628,overcast clouds,Hotel Executivo Palace
249,tambun,ID,86.0,-6.2641,107.0712,haze,@HOM Premiere Tambun
250,ballina,AU,77.0,-28.8667,153.5667,overcast clouds,Ramada Hotel & Suites by Wyndham Ballina Byron
252,zhaoqing,CN,80.01,23.0512,112.4597,scattered clouds,七星岩旅游度假区
253,mar del plata,AR,66.0,-38.0023,-57.5575,few clouds,Gran Hotel Mar del Plata
254,salalah,OM,75.2,17.0151,54.0924,clear sky,HAMDAN PLAZA HOTEL SALALAH
255,karratha,AU,92.84,-20.7377,116.8463,clear sky,ibis Styles Karratha
256,maragogi,BR,78.42,-9.0122,-35.2225,clear sky,Salinas do Maragogi All Inclusive Resort
257,hualmay,PE,69.1,-11.0964,-77.6139,scattered clouds,Hotel Villa Kitzia Huacho
258,alta floresta,BR,70.36,-9.8756,-56.0861,overcast clouds,Floresta Amazonica Hotel
259,neiafu,TO,86.0,-18.65,-173.9833,broken clouds,Mystic Sands
262,san ramon,US,75.2,37.7799,-121.978,clear sky,San Ramon Marriott
264,port elizabeth,ZA,62.6,-33.918,25.5701,overcast clouds,39 On Nile Guest House
266,sambava,MG,76.08,-14.2667,50.1667,light rain,Melrose
267,bairiki,KI,86.0,1.3292,172.9752,scattered clouds,Tarawa Boutique Hotel
270,kloulklubed,PW,86.0,7.0419,134.2556,broken clouds,Storyboard Beach Resort
272,ghanzi,BW,66.72,-21.5667,21.7833,broken clouds,Ghanzi Farmhouse
273,mount isa,AU,87.8,-20.7333,139.5,clear sky,ibis Styles Mt Isa Verona
280,stockton,US,78.8,37.9577,-121.2908,clear sky,University Plaza Waterfront Hotel
281,ouadda,CF,74.26,8.0777,22.4007,overcast clouds,
285,kelo,TD,76.39,9.3086,15.8066,broken clouds,Plantation de Kelo
287,brazzaville,CG,77.0,-4.2658,15.2832,few clouds,Hotel Murex
290,dhidhdhoo,MV,84.15,6.8833,73.1,overcast clouds,Dhidhoo beach
292,palampur,IN,62.4,32.1167,76.5333,clear sky,FLB Resorts Jerry's Jungle Huts
293,poum,NC,78.12,-20.2333,164.0167,light rain,Gîte kajeon
294,viedma,AR,62.78,-40.8135,-62.9967,overcast clouds,Hotel Cristal
296,cayenne,GF,80.01,4.9333,-52.3333,overcast clouds,Hôtel Le Dronmi
297,kruisfontein,ZA,62.01,-34.0033,24.7314,overcast clouds,Oyster Bay House Rental
298,kapit,MY,89.33,2.0167,112.9333,overcast clouds,Hotel Meligai Kapit
301,nsanje,MW,63.82,-16.92,35.262,clear sky,Nsanje Discovery Lodge
302,sao filipe,CV,71.67,14.8961,-24.4956,scattered clouds,Tortuga B&B
303,johi,PK,84.63,26.6921,67.6133,clear sky,Haji Fareed/ Abdul Qyoum Rodnani OTAQUE
304,trinidad,BO,70.77,-14.8333,-64.9,overcast clouds,Hotel Piesta
306,presidencia roque saenz pena,AR,62.06,-26.7852,-60.4388,clear sky,Hotel Gualok
307,safford,US,73.4,32.834,-109.7076,clear sky,SpringHill Suites by Marriott Thatcher
308,coruripe,BR,78.69,-10.1256,-36.1756,broken clouds,Pousada e Hotel Litoral Sul
310,galveston,US,64.0,29.3669,-94.9669,clear sky,Comfort Inn & Suites Texas City
